ask_content	answer_content	related	related_classes	tieba_name	source
创意是永远盗不走的,以前旷野之息的试玩也是只放了冰山一角,老任藏了多少我真不敢想	这个是肯定的,当初塞尔达旷野试玩就藏了不少,地下完全没漏[阴险](还有一堆的东西可以组合,武器盾牌和箭矢)	0.994	0	bilibili	pc
这把真感觉打的不错,可惜还是要被某群体黑	最后一把虽然对于全炸了,但是他对线也被爆了,算不上尽力,那波单杀一换一是很亏的,刚刚复活出来就被抓死,只是没给镜头罢了,而且那波最关键的团战下路四打五,他没tp,导致edg彻底回天乏力。	0.9883	0	kangyabeiguo	pc
什么紧跟时事(左下角为原点(2,2))	紧跟时事那个啥玩意,老哥说下	0.9844	0	sunxiaochuan	pc
确实是怕他之后一直这么搞不过大部分人也不差这点钱,要是他以后真的连着出氪金英雄那该退就退吧,反正喜欢玩就留不喜欢就走	毕竟就一游戏	0.877	0	wangzherongyao	pc
鸟也是雄性更大,雌性更大的鸟只有某些猛禽	雄獅好像主要是打架护卫,我感觉狮子的社会体系接近母系社会制度。雌性主导	0.9424	0	sunxiaochuan	pc
一部题材小众的动画能上9亿,国内观众已经尽大力了,这下没法甩锅观众了吧。至于亏本那是电影的问题,又不是观众的问题,国漫总票房每年就三十亿多一点,你一部《深海》回本要吸行业三分之一的血,导演不反省反省自己?	电影和校园dai不是一回事,可孝子的说辞是一回事啊	0.88	0	bilibili	pc
你说你穷家庭情况不好没关系我还同你谈恋爱还送你礼物我们吃饭还aa,突然有一天你说你要买18万的车换你你能接受?这个吧都是啥玩意	这话你跟那男的说去	0.909	0	sunxiaochuan	pc
我可以,但是我经常拖手机摩擦的小拇指有个小茧子	我之前也磨出来个小茧子,后来我给他扣了	0.993	0	hanpi	pc
为什么我页面跟你的不一样呢 是不是斗破最高热度时候上的呢	很多人都没看见热搜 就你们能看见么?	0.917	0	guochandonhua	pc
出复活的鲁路修后t0	没复活t0	0.993	0	donman	pc
大半夜以前的朋友和我说,现在好多同学结婚了,裂开,怎么感觉都不是一个时空的人了	嗯嗯,没在意那些了,每个人的轨迹都不一样,没有必要去强求,顺应着来就可以了,最近在专心挣钱没怎么更新帖子	0.8975	0	chuduixiang	pc
晚安哦	晚安	0.9414	0	chuduixiang	pc
这动画已经出现严重的剧情漏洞,之前还可以说玉阳宫主是为了放长线钓大鱼,故意对天妖门视而不见,但这集堂主出来,明显连神尊的级别都不是,那个笑笑李目前来看也是要被解决的,能被现在的主角解决,也就是说没到神尊级别,一个神尊第三境的玉阳宫主放长线钓大鱼,还牺牲一天才徒弟,就为了钓出这种级别的小妖,玉阳宫主是不是脑子有问题,应该是编剧脑子有问题,迟迟不推进剧情,一直拖着,还把梅元知拉出来彻底用完,他不懂有一种遗憾叫天才落幕,为他惋惜,这种落幕不是用死亡强行煽情,而是独自落寞离开,以后有需要可以再拉出来收割一搏情怀,前半集这种气氛做的很好,偏偏要被抓,这种剧情简直就是多此一举	原著应该是二境没到三境	0.8994	0	guochandonhua	pc
在哪干没五险一金,这个看你是自己接活还是固定在哪专业做电焊的,你要是厂里面固定的肯定有啊,但现在很多企业黑,只给险没有金,现在技术工很吃香,我爸找那种工人就会个电焊稍微会做一天的早八晚五一天450我真感觉不值那么多,他说行情就是这样,工人不好找年轻人不肯干这个	技术好的300+都不止	0.8926	0	sunxiaochuan	pc
"原著里这两个人的唯一亲密互动可是方清雪主动吻的方寒,虽然只是脸颊。而且他们都能给一个十八线龙套原创那么多感情戏,为了捧这龙套三番两次崩坏方清雪人设了,以""保护女主人设""为名去给别的女配加感情戏这说法根本不成立"	ntr华天都不一定要通过双修,烟水一这段不管国漫让不让开后宫,方清雪是不是官配都不会给你还原的,因为涉及qj和崩男主人设,连看了原著的都觉得这段很崩方寒人设,你还指望动画给你还原?	0.997	0	guochandonhua	pc
我说的是专攻网文的同时还要抛弃原配,玄机可是抛弃了秦时的	骂他不算错吧?很多历史人物被骂几百年呢!玄机没资格和那些历史人物比吧?我骂他几句就成了我脑子有坑了?我看你脑子有坑吧?	0.9844	0	guochandonhua	pc
你又是什么德行,我还以为是谁呢,原来是法制咖群体啊	宝宝,是这个层主误会了以为我说的是人品,已经解释了	0.9316	0	guochandonhua	pc
懒得睡了 反正也睡不着	已经预想到明天上午要趴桌上补觉了	0.8906	0	aiouniya	pc
三三	娘口三sei	0.871	0	donman	pc
可以下次报笔试的时候顺便考个口语,六级口语比笔试要好过得多	我也考六级	0.958	0	sunxiaochuan	pc
箭头方向确认,条件为两只相同属性和一只不同属性的怪兽	连接仙人的徒弟!	0.823	0	sunxiaochuan	pc
不一定,胖的人打呼噜多是因为呼吸道塌陷,但瘦的人也会软组织阻碍呼吸道正常通气	网上有卖那种止鼾的药品 用一下就好了	0.84	0	aiouniya	pc
你需要号,还是共给别人	需要号	0.9795	0	wangzherongyao	pc
宁王指挥怎么投降吗,还是指挥俯冲上钻一?	芜湖,宁指挥?	0.965	0	kangyabeiguo	pc
开波车?	波车是什么?	0.9614	0	donman	pc
银魂	银桑	0.83	0	donman	pc
才发现你是福建的,你最好不要让我知道你在哪里,不然放假回去就真实你	这份上文科来安徽,大专的命	0.8286	0	sunxiaochuan	pc
中期很硬核,结局烂大街对于科学理论的前进归功于时间穿越,陷入了逻辑闭环	最强科幻商业片,唯一把科幻和人文元素完美融合的。	0.9067	0	sunxiaochuan	pc
大刘就给王者写过吧,不过我感觉大概率就是个挂名,江南和今何在都是早年给端游写过剧情,但是你看今何在参与的斗战神前妻确实是剧情水平比后面好多了	猫腻和我说的情况有关系?本来就是改编他的小说你看有几个原创的电视剧和游戏请他写剧本	0.9556	0	bilibili	pc
21年转上的时候,那年发型还能看	护目镜时期挺帅,意气风发的	0.9443	0	kangyabeiguo	pc
这么牛	真的很牛	0.864	0	simubinansuo	pc
借楼、光凭暴伤说伤害就是耍流芒、你生命值多少?圣遗物穿的哪套?武器就算不是专武、那你也要说是那把武器、几星?多少级?	我爆伤210,生命32000随便跳2w别搞笑了楼主	0.9546	0	yuanshen	pc
私	己关求私	0.867	0	sunxiaochuan	pc
用这个妮蔻就太不稳定,一把就能挑出一个高光啥的,打决赛了真不够吧,这样吃队友今天怎么打gg啊	那你意思不该开 赵信白死青钢影不拿头这样就赚了	0.8516	0	kangyabeiguo	pc
我们没有翅膀 [花心]大爱这个	俺翼	0.841	0	donman	pc
原神从来就只有世界没有开放	哪里不开放?角色还不够开放吗?	0.958	0	yuanshen	pc
说的话也是不一定,我也没说他一定死吧,不是你自己说第三把前面是下路打优势了吗	确实没七千,但我说的是六七千,你个老坛分不清六七千的意思,那是我的问题喽。	0.882	0	kangyabeiguo	pc
楼上可以吗	行。我看看楼下是谁	0.945	0	simubinansuo	pc
从城门那里开始走原著就好看了,太子城门端水一手一个兄弟那里笑发财了,比之前那些尬梗有意思多了。	片尾曲也可以啊,剪辑也契合。陈道明从一群大臣中间走过来的时候太有感觉了,真王者。	0.975	0	guochandonhua	pc
教授不高高在上,难道让你这个带专高高在上吗,啥乱东西[吐舌]	哈哈哈。笑死。可以攻击性不错	0.812	0	sunxiaochuan	pc
悟吉塔:你觉得你是我的宿敌吗? 邪念波:我觉得我是	可悟吉塔此后长时间封号了(超除外)	0.979	0	bilibili	pc
反正这个天气别去鼓浪屿,要看海考虑泉州漳州,吃啥的建议别去吃那种xhs的海鲜大排档啥的,去哪里都看看本地人都去哪吃,就像他们说的打听式旅游一样	23的高铁 看天气好像没有问题	0.8486	0	hanpi	pc
这个功能是不是有点此地无银三百两的感觉	本质隐身功能,不然换个壁纸被好友问是不是在冲真的很尴尬	0.852	0	bilibili	pc
我感觉吧,中配挺尬的,不觉得日配尬只是单纯听不懂罢了	可能是动漫本身就不太适合中配。游戏中配其实都还可以吧。至少不太应该是声优的问题	0.994	0	donman	pc
我是对面直接拉黑你这个逆天	比你都黑	0.8633	0	sunxiaochuan	pc
所以这本书就变成狐尾xp大全了,什么四爱,abo,7米长而且上下可拆分的美人鱼,工厂生产出来的自恋人	abo这东西女频比较多,男频还真没见过	0.987	0	bilibili	pc
不然呢?姑妈还是胚子?姑妈被胚子踩头,胚子也就蹭蹭局势,就两边春决看完,他现阶段就是最强,你觉得谁最强那你说嘛	p莱克什么冠军?	0.8457	0	kangyabeiguo	pc
没bug就行,不求他咋样,上集那bug实在若至	所以如果上集没那么若至,这集大概几分	0.996	0	guochandonhua	pc
战士没有韧性鞋是不能玩的,韧性鞋削弱的那时候,也是战士叫的最大声	现在所有物理装备都没有超过10%的装备了,你如果硬是说能出冰心,那你们法师可以个个都出圣杯辉月冷静鞋吗?	0.9805	0	wangzherongyao	pc
恭喜blg创造历史!成为lpl有史以来唯一一支和外卡打满bo5的队伍!恭喜!!	tl人家是北美赛区,这是外卡,能一样吗	0.959	0	kangyabeiguo	pc
小老虎能收徒,他ad i10能叫吗	没,我是指上单位。不是ad	0.9365	0	kangyabeiguo	pc
不是说不厉害吗?去年才被虐昏头今年又开始了?我还以为淘汰了呢?你让往届赛冠军怎么办啊?msi版本就是和上个s赛差太多了,所以就是你说的不厉害吗?	blg这么厉害一定有皮肤吧	0.9707	0	kangyabeiguo	pc
多高啊	没多高	0.943	0	sunxiaochuan	pc
应该把空调装外边,里面装空调外机	因为师傅忘把空调外机装屋里了	0.9795	0	ruozhi	pc
我发现你变反骨了!	呵!	0.8286	0	hanpi	pc
三四十的老登看国漫,这。。。说他们看网文我到信,身边不少这样的。可是现在国漫粉丝里声音最大的就是母的和小的啊。你这个是从哪里看的数据?	这数据可信度堪比小红书	0.881	0	bilibili	pc
吞噬星空没有多少女观众吧	你首先得确定吞噬看的是男的多还是女的多	0.9824	0	guochandonhua	pc
控制少的对局就是对面后排的噩梦,8分以上;控制多4	我给4-5,不适合当前版本,强度偏低,战边强势版本队友选这个线上直接爆炸	0.955	0	wangzherongyao	pc
蕾欧娜,有手就行	谢谢你让我知道我没手	0.88	0	aiouniya	pc
今天真尽力了,你真的肉眼可见的团队,线上也把把压着大黄打。	局局抱大黄,但是就是拿不到c的英雄。	0.9883	0	kangyabeiguo	pc
你有点魔怔了小丑,自己慢慢消化吧,这也没什么人能帮你,用岁月去慢慢消磨吧	也没有很魔怔吧,正常挽回,只有这些方法了	0.9917	0	sunxiaochuan	pc
确实,我从朴吧搬⑩可让你给看急眼了,这么赞同我观点,我把朴吧帖子转过来,你去说说呀	朴吧是这样的,蒸馍,你不服气?我们吧友用小猿搜题都能过初赛,你们孙吧行不行啊	0.99	0	sunxiaochuan	pc
这把确实没啥大问题,我看不出啥太大毛病,369也突破不了bin。这俩如果对着混。那肯定是blg没了	确实但是这局还能说369输了?369这局表现比bin好啊,我鳄鱼一个布甲鞋满地图跑,bin咳血在上清线	0.9976	0	kangyabeiguo	pc
小程序看个乐子就行,在纯水队里6夜兰6芙芙输出差不多的	除非你拆黄金乐团和带绿剑,那6刀吃不到任何增益,比原始人还原始人。	0.962	0	yuanshen	pc
只要有人觉得不喜欢看,那么她就不该是最佳	今年看的少,我觉得芙莉莲还行。配乐好,演出难绷给剧情拖后腿,角色可爱人气高很正常。	0.8984	0	donman	pc
我也想打牌	我不会打牌,家里人再打哈哈哈	0.959	0	simubinansuo	pc
真这样第一集军姬就完成心愿了,哪来这么多集磨磨蹭蹭	在原著里是有修正力这一概念的,过多使用能力改变世界会被世界强行踢回二次元,导致军姬能力没法完全发挥。	0.9917	0	donman	pc
当然临也	临也	0.924	0	donman	pc
再说听得进去的少的又少这一点,不就更说明温和的输出观点不是比你摆出这种态度是更好的选择吗。具体说到好坏处,我希望wcn学会筛选的办法,能筛选到善良的,负责的,自己认可的主。	我的意见就是得让他知道这些负面正面让他自己看看有没有这个能力进圈,让他自己斟酌。只是我觉得比起一昧的劝不要进圈,不如做一些有效率的劝导这样才能让更多人少受到伤害,而且还能增加他们找心仪之人的概率。	0.9844	0	simubinansuo	pc
你难道相信cos圈有什么清纯好女人?	哦那这么看想给自己洗就直说嘛	0.8115	0	sunxiaochuan	pc
10比起正片多了深沉的味道,泪点燃点都有,最后松冈的爆发减简直神中神,看了那么久动画第一次想哭。	这个很可以 9.5	0.834	0	donman	pc
你确实看到一个回复就回,这层乐子还挺多	别人回复我,我回复回去不是很正常	0.9443	0	sunxiaochuan	pc
那句:难道是某位青云首座来了?貌似正片改掉了,今天节奏还原度相当可以,值得复刷	改回原著那句话了	0.895	0	guochandonhua	pc
这个也好,劝你和我谈	不是,啊	0.8135	0	simubinansuo	pc
任务其实还可以,就是奖励太抠门了。辛苦一场就那么点原石,就觉得付出没有回报。	而且,一直以为草神跟兰娜罗会有什么故事要展开。结果一个版本都要结束了,无事发生。要我说这支线比主线做得好多了。	0.9795	0	yuanshen	pc
经典白忙活,运营半天最后大火收汁	cube连夜官宣lgd,陪玩哪有这赚	0.9033	0	kangyabeiguo	pc
我的答案是,人太闲了,考虑这么多干什么	我的评价是,你也挺闲的	0.9727	0	bilibili	pc
那么有实力吗?还有保安跟管家	京爷有实力	0.8916	0	sunxiaochuan	pc
不介意的话发个婚纱照 抛个绣球给大伙 祝幸福	哈哈婚纱照才拍好	0.8965	0	aiouniya	pc
所以鲸鱼是啥	禁欲	0.4236	1	simubinansuo	pc
明天来,关电脑了	联系给我	0.6284	1	simubinansuo	pc
收到(	好宝宝	0.671	1	hanpi	pc
老东西真会说	说到点子上了	0.789	1	sunxiaochuan	pc
兵长金木并列二本命,你让我怎么选。[心碎][阴险]	为进击献出心脏	0.7705	1	donman	pc
哇哇哇,原来你是女孩子啊	我不是	0.7603	1	hanpi	pc
,你还不滚,我滚	简单爱	0.7324	1	sunxiaochuan	pc
很贵 国产第一上单价格	年轻,对线实力强,以前主要是年轻,打的很一般,今年他打的真不差吧	0.5107	1	kangyabeiguo	pc
你哪看出来我急了?我想找你们多点乐子	小丑请注意自己的言行	0.6973	1	guochandonhua	pc
我记得我18岁的那天生日正好在军训,教官让我们集体蹲十分钟给累趴了都。	别闹了 上面有个说他接	0.708	1	chuduixiang	pc
555不是最强一代乔,但绝对是最帅一代乔,潇洒一生,何等畅快!	满昏最喜欢的jojo	0.7246	1	donman	pc
图还有吗	什么蜜壶蚁	0.752	1	bilibili	pc
祝成功,真实盗刷,另外监控坏了太真实,总是坏的恰到好处	智齿	0.4624	1	sunxiaochuan	pc
没问题	坚持自我	0.607	1	hanpi	pc
不肯投钱是因为现在还是网文流量时代,指着原著读者变现,大眼珠子前几本不够出圈自然不受待见。实际上网文ip的影响力目前来看被高估了,除了少数出圈的、或者像唐家三少这种擅长商业化运作的,哪怕是均订十万的小说也能被半死不活的优酷轻松拿到,大多还受制作影响	吸引了女性用户消费。	0.4414	1	guochandonhua	pc
你真是hz就该知道hz次次拿捞虎踩左手的,你说369去hz狂喜还有人信。	半个月前 还没回家,部分 对安久还有一点奢望,奢望他能回到 的状态,然而回家之后,你看有几个 还觉得安久比糯手好的?	0.7886	1	kangyabeiguo	pc
叫你不要钓鱼了 不是让你不回我信息…能不能别钓我几天就不钓了 我都和我朋友说感觉这次可以结婚了。	??好好好	0.7393	1	hanpi	pc
lz我愿意用自己5年单身换你们幸福啊,你一定要幸福别让妹妹伤心,你们一定要幸福啊!!!	江湖路远,后会有期	0.792	1	sunxiaochuan	pc
三分吧,能力就在这儿了	明世隐	0.4165	1	kangyabeiguo	pc
哇!我刚发出来的贴就有人回!真是速度	2022年了	0.737	1	donman	pc
老哥你上班还能三天到27你不用睡觉的吗?	这是我工作内容之一,拆解游戏还有了解现有市场头部产品的游戏配方、设计思路和商业模式	0.4836	1	yuanshen	pc
你们龙珠粉不管什么事情都要排战力吗?	你对楼主说吧	0.7295	1	bilibili	pc
还有人记得少战	不知道这是谁,想捂逃	0.7314	1	donman	pc
那你怎么不去钻研高数,用不同的方法解一道题呢?怎么不享受了	这不是开服那年就有人吐槽?咋?文艺复兴?	0.683	1	yuanshen	pc
我真的没看过,02	我也是蛋蛋后	0.797	1	sunxiaochuan	pc
多大	回答过了	0.712	1	simubinansuo	pc
养蛊	超级大水怪	0.6875	1	sunxiaochuan	pc
"凌晨四点,我依然睁着眼睛不能入睡。我把被子盖住头,心里默默祷告着:""求求了,让我睡一会吧,求求了"" 感谢怜悯,我最终睡了两个小时。"	跟我那天因为生气提出分手但是不久之后后悔一样 当时我对象不同意了 我就四点才勉强睡着 六七点又醒来跟别人倒苦水 难受死了	0.6475	1	sunxiaochuan	pc
真不是,可能是我理解不够。泰坦每次团都能限制对面最强最肥的发条,这就够了啊。16个助攻呢	你无敌了	0.789	1	kangyabeiguo	pc
接盘的是真不怕死啊,瞒着她爸搞赠予,她爸不同意的赠予可以追回的	也不是不行	0.7246	1	sunxiaochuan	pc
小丑竟是我自己	每天都不想上班	0.713	1	chuduixiang	pc
咋	来聊天	0.756	1	chuduixiang	pc
lck亲爹	韩国国父	0.73	1	kangyabeiguo	pc
"是否能出好作品我不清楚,但被禁的可不仅仅是这些啊,""神、魔、圣、牧师""这类关键词也禁,大部分仙侠、神话、玄幻题材没有这些词无法还原"	圣职者?光职者!	0.6846	1	donman	pc
这个是真的嫩,真的顶	求私	0.683	1	sunxiaochuan	pc
逆天了 抢红包开挂还自己开小群 最讨厌这种在别人群然后自己又在群里拉小群的人了,拉帮结派[表情]拉帮结派单纯玩玩游戏也算了,还负能量排挤人诋毁真的无语	素的啦它们建建的	0.709	1	wangzherongyao	pc
不会旺季再来?	盲猜,你是不是刚看完edg对战geng的比赛?	0.4775	1	sunxiaochuan	pc
申述没啥用	22号就被永封了,26解封,刚刚又封了	0.673	1	guochandonhua	pc
这个预约跟天罡传一样提前花钱买票吗?	不用,点一下就行了,	0.67	1	guochandonhua	pc
上一次看到这种神贴还是50多的老鼠鼠讲人生阅历	真浪漫啊	0.6216	1	sunxiaochuan	pc
免费佣人罢了,碰得到一点算我输。	能剿丕就满分	0.6787	1	sunxiaochuan	pc
已举报	举办了	0.7173	1	sunxiaochuan	pc
其实我可以	来	0.7524	1	chuduixiang	pc
19年最佳新人拿捏去年的最佳新秀还是没问题的	封导之战	0.4304	1	kangyabeiguo	pc
话说关于骂龙哥的贴还在不在,我想去看看	那8个人是不是这样哭的	0.6826	1	sunxiaochuan	pc
塔姆确实打的我们一点还手机会都没有,而且我们还不ban	给劳资整笑了,什么小学生发言	0.704	1	kangyabeiguo	pc
我想了下,应该是典型的直方图,而不是频率直方,确实我的表述问题	这是正态分布啊	0.778	1	sunxiaochuan	pc
然后现在楼主已经黑化了,对于那些投怀送抱的女生,楼主玩玩就丢了,根本不会理会	gkdgkd 不准打瓦	0.621	1	sunxiaochuan	pc
买皮肤没	我又不打排位	0.748	1	chuduixiang	pc
你塔赞爹是职业?什么冠军?哦,一个联赛冠军都没有的职业?你跟你塔赞爹一起去4吧	串麻了	0.6934	1	kangyabeiguo	pc
不是的,相信女神不会这样的	什么小丑还自我安慰起来了	0.709	1	sunxiaochuan	pc
谢谢	光宗耀祖了铁子	0.5254	1	sunxiaochuan	pc
那明天最后一天??	我瞎说的 哈哈哈	0.6934	1	guochandonhua	pc
坏了,只看过忧郁,消失没看。。	支持	0.665	1	donman	pc
最纯真的一集	不如说是可莉的倒膜	0.773	1	sunxiaochuan	pc
摇滚史上最伟大的乐队,没有之一	给我笑嘛了	0.5303	1	sunxiaochuan	pc
好下次去超市买回家尝尝	点外卖呢	0.791	1	hanpi	pc
吃饭	悲伤的正方体	0.678	1	chuduixiang	pc
好4,危险nm这种话都有脸说	钓的是没得是	0.7925	1	sunxiaochuan	pc
我知道了	那确实挺多的	0.591	1	simubinansuo	pc
这什么时候拍的这么苗条?现在感觉发福这么多	你认真的吗	0.7295	1	kangyabeiguo	pc
陈r能不能414啊	出生早点似吧	0.786	1	sunxiaochuan	pc
好喝!	下次试试	0.7783	1	hanpi	pc
哥哥哥哥	咋了	0.7837	1	chuduixiang	pc
我要最大的	可以拿去	0.67	1	hanpi	pc
你的猴子还是稳	混的还行	0.7705	1	kangyabeiguo	pc
继续加强q削弱w就可以变成纯正的rank英雄了	这排位还有人用么?	0.7734	1	kangyabeiguo	pc
你的	回关我	0.7256	1	wangzherongyao	pc
赶紧吹吧,像个娘炮一样。看了想吐。别吹了,完犊子	低能不是你吗是个女的就看不上萧炎这史建模	0.511	1	guochandonhua	pc
什么样的算强者	可以具体了解一下吗	0.677	1	simubinansuo	pc
我黑铁ad 能不能带我在下路装一下	加啦	0.631	1	aiouniya	pc
老婆我也要一个,	好的 要吃自己拿	0.7437	1	hanpi	pc
好活	你太短了	0.751	1	ruozhi	pc
最喜欢被强迫的感觉辣	噗,快去报名	0.7285	1	donman	pc
"【语音】13"""	骗人!	0.6665	1	hanpi	pc
抖音稳赢	为什么不问问神奇海螺呢	0.4763	1	sunxiaochuan	pc
嗯嗯嗯呃	睡吧我还有点精神	0.744	1	simubinansuo	pc
b站的课程我也学过不过时间太长,自学还是抖音好,几分钟就讲清楚了,自己再自学。效果很不错	这两个一起用效果最好	0.7197	1	guochandonhua	pc
什么病娇,不说了我水烧开了	搞快点搞快点	0.7627	1	bilibili	pc
能不能让让第一	我有时候也卡	0.703	1	hanpi	pc
我的 wk70001	…看私	0.6816	1	wangzherongyao	pc
离不开狗子	不信我偷	0.776	1	chuduixiang	pc
主要这个动画的当时预告说什么超越柯南,然后我看了一集就蚌埠住了,直接弃了	說來離譜,在我讀小學的時候我看齊樂天和霍星兩人在一起一點違和都沒有(明知道霍星是男生)	0.3467	1	bilibili	pc
你说宝宝!	真不错!棒!!	0.759	1	hanpi	pc
感觉跟我玩过的不一样,我玩的貌似没那么多角色	纯偷任斗	0.744	1	sunxiaochuan	pc
那就一直真诚下去	好嘞	0.766	1	chuduixiang	pc
巧克力脆皮桑葚口味雪糕的味道	你懂了	0.591	1	simubinansuo	pc
9.9包邮人士不理解你在说啥	我买了两双几十块钱的回力感觉都不好穿	0.783	1	aiouniya	pc
那是幸亏楼主没有碰上我,当年有人成天欺负我我拿刀把那人砍了,虽然没看成什么伤残,但是也赔了不少钱。不过要是楼主运气好点估计就要短些什么东西了	老师也该死	0.7207	1	sunxiaochuan	pc
这个画工确实好	我咋看不了	0.7603	1	bilibili	pc
带带	那我没有你这么惨 今天昨天都净胜两把好像 这个号别人打的定位+又打了几把输了	0.626	1	aiouniya	pc
那是啥	金牛	0.667	1	chuduixiang	pc
就知道洗地的孝子!老子原文都贴出来了!都没有胆子敢承认的孬种!	赵无极:怎么?适合唐三的千年魂兽都绕着我走是吧?	0.754	1	guochandonhua	pc
有什么难题吗?	下一位	0.4338	1	sunxiaochuan	pc
哥们要是没读过十几年书、经历过折磨的考试,保准笑得比他还纯真	丁真还真获得过一个有关音乐的奖	0.777	1	sunxiaochuan	pc
后槽牙都咬碎了捏麻麻的[怒][怒]	有后续,踢一下我	0.69	1	sunxiaochuan	pc
啊?	认贼作父	0.613	1	sunxiaochuan	pc
么么么么	服了	0.728	1	donman	pc
我没有护主啊?毕竟,这件事如果按其他的来讲,只说《一年的陪伴》我并不会说什么,但是有些爆出来的东西与事实不符,所以只能这样	1比9是一部分 5比5是一部分 9比1也是一部分。 op的基数已经大道你所谓的 一部分 干的事恶心整个互联网了。	0.5615	1	yuanshen	pc
因为(高级黑)的美名	现在 不好说	0.6777	1	ruozhi	pc
