ask_content	answer_content	related	related_classes	tieba_name	source
吧友们能不能推荐点口味一样的的番,最近没得看了	未来日记,地狱之歌,心理测量者	0.854	0	donman	tp
女主离自己第一集的状态已经越来越远了呢	这女主一开始气质像变身女主,结果现在还真变身了	0.9395	0	bilibili	tp
常年t1对抗路战士,不惧孙策姬小满,狂铁这么强你为啥不玩?	在逆天的英雄也不玩 狂铁	0.9937	0	wangzherongyao	tp
大家觉得lpl有哪些选手能进名人堂	小虎真能进吧	0.8467	0	kangyabeiguo	tp
萌新,钟离歪了迪卢克,是练卢老爷还是继续练烟绯	以我歪迪卢克的经验,你继续玩烟绯就行了,再攒攒石头等大保底雷神或者水神就好。	0.999	0	yuanshen	tp
8u们,碰到这种逆天舍友该怎么办?	直接厚如让他变成星怒给吧友炒	0.806	0	sunxiaochuan	tp
msi胜者组 2:1 t1	打t1不能开香槟,tes的塞纳让blg练出来了,只ban大飞英雄,不ban小吕布,打lck千万不能和平发育,对面整个赛区只玩和平发育的	0.949	0	kangyabeiguo	tp
好好好,雪女3开画了,隔壁乡村爱情故事5也早就企划了,谁能先	一直没搞懂雪女为啥这么活,看过感觉质量一般没那么突出啊	0.992	0	bilibili	tp
你这动作不对啊	他们最好长记性了,不过你知道的吧,那可是库洛啊	0.8057	0	bilibili	tp
"提名你最想娶的""动漫老婆"",就有机会赢贴吧大礼包哦"	最想娶的老婆是蓝灵娥,圆脸师妹太可爱了	0.9834	0	guochandonhua	tp
吧 u们 帮我看看这妹妹什么意思	我嫉妒了	0.82	0	sunxiaochuan	tp
原来和声音好听脾气温柔的男孩子打游戏真的会愿意多和他玩 哪怕	我觉得我声音挺好听的 为什么没人跟我玩	0.961	0	aiouniya	tp
这个武器琴用有点无敌	有缺能量的琴吗	0.9277	0	yuanshen	tp
为什么t1和马赛克几年没拿世界赛事的冠军依旧是豪门	skt 三星都是韩国国企 如果lpl里有 鲁能g 电信g 建行g 那就不存在投入问题了	0.8594	0	kangyabeiguo	tp
没有京津的跟我处一下?离得超级近	济南呢	0.875	0	chuduixiang	tp
从什么时候开始二次元变成一个略带贬义的词语呢?	收队,一个二次元的	0.968	0	donman	tp
i社宣布新i社不是正统	那你正统倒是出东西啊	0.9287	0	bilibili	tp
g2夺冠,blg没进决赛,lpl将失去s14第四张门票的资格	四号种子大概是wbg,lng,nip这几个队中的一个,现在应该是他们的粉丝急,对其他人而言不进就不进没影响	0.9663	0	kangyabeiguo	tp
原神到底为什么不出跳过剧情呢?	有的剧情只会让我对一些角色感到厌恶	0.8525	0	yuanshen	tp
花着我的钱还要骂我,还要偷偷摸摸跟别人玩游戏	当付出太多了,就变成了一种不甘心,自己心太善,想到他家里穷,身体还不太好,狠不下心去对他不好了	0.9067	0	aiouniya	tp
从22年到现在,还是这两个上单在交手	很难想象上下是同一个人	0.8345	0	kangyabeiguo	tp
有没有大佬能认全最后一排的所有动漫?	我就最后两排就没有看过。	0.955	0	donman	tp
孙吧的地位还在上升	我升级≠我玩孙吧	0.9526	0	sunxiaochuan	tp
孙笑川吧忏悔室	对着室友女朋友照片打∠[泪]	0.8745	0	sunxiaochuan	tp
当有人闯入我家时 座敷童子的反应	你这长角的是个鬼啊 还是说这是鬼品种的座敷童子	0.994	0	bilibili	tp
找个固玩妹妹 一区	钻石不行 等你上宗师了来找我	0.8154	0	aiouniya	tp
我不理解,你们申鹤的面板攻击真能4000吗?	圣遗物两套加攻击的,哪怕没专武全歪,光主词条就能堆到3300左右	0.9717	0	yuanshen	tp
社会我狮哥,给条鱼还嫌小。	不要这样喂它们,它们习惯了会经常围着渔船追很容易被螺旋桨绞死,已经很多案例了。	0.893	0	sunxiaochuan	tp
出现了!车长躲炮弹!	连蛐蛐炮弹都躲不了的娘们还有没有女子力了?战车道都白修了?	0.9717	0	bilibili	tp
我真的再给别人借钱我就是狗!!一直催着要真的快恶心死了	我也是,我还有几千没要回来	0.9253	0	chuduixiang	tp
"8月16日 上海 (发布) 网友在地铁上拍到的""奇葩女士"",""独角戏,可纳入北影教材"",网友:她要嫌弃她别坐啊"	8号线还是9号线来着	0.836	0	sunxiaochuan	tp
gbc完结吐槽	对番没意见,我只希望部分粉丝别碰瓷卡缪	0.8564	0	bilibili	tp
谁聊天阿	聊会。	0.915	0	simubinansuo	tp
恋爱,卡湖北,鄂h最好	鄂f滴一下	0.959	0	chuduixiang	tp
四川,谈恋爱,我是真不丑啊,我验证了,这次配了吗?小吧都替我	加油帅哥	0.826	0	chuduixiang	tp
这个人物是哪个动漫的啊?	应该ai,咋一眼跟美少女战士一样,但是又有别的元素	0.934	0	donman	tp
为什么太阳出来了,人们还是活在自己的影子里?	太阳下山后人们就得活在世界的影子里	0.9863	0	ruozhi	tp
【踩楼活动】iqoo新品发布,携手农药吧预热2020kpl冠军杯	希望iqoo能带来更多高性价比高性能的手机,越来越棒。	0.9805	0	wangzherongyao	tp
好久不见哟	好好好	0.846	0	hanpi	tp
170的女汉子想找一个180的男孩子	四川的女孩子呀,感觉160的女生特可爱	0.9937	0	chuduixiang	tp
假如唐三可以开后宫,二老婆的合适人选是?	比比东最合适	0.88	0	guochandonhua	tp
理性讨论,要是蒙德和璃月发生战争哪边赢面大?	去掉双神 蒙德强点	0.9385	0	yuanshen	tp
有没有可能,沧元图才是群像?	为啥最后说个山海经密码	0.86	0	guochandonhua	tp
小狼神也是封禁词?	哈哈,可以提石凡,不可以提小神	0.8916	0	guochandonhua	tp
扣1写印象,好坏都有,不认识的跳了	1谢谢	0.8594	0	hanpi	tp
【迷宫饭】南瓜这面部表情太应景了	龙南瓜	0.961	0	bilibili	tp
破破多学习优秀国漫的时间规划	别尬黑,之前普通集不如完美,完全没质感,跟短文化一样,模型还丑,最近这三集确实顶,渲染跟以前不是一个级别,跟三年之约一样,继续保持,重回巅峰指日可待	0.803	0	guochandonhua	tp
有哪些动漫神作可以和18,19,20世纪的文学名著碰瓷?	宫崎骏的动漫电影,我感觉还不错。	0.95	0	donman	tp
怎么快速入眠	跑十公里,保证马上就能睡着	0.8774	0	simubinansuo	tp
求助下,刚才在车站看到cos金发双马尾蓝帽蓝斗蓬角色想求下名	来个照片都没有,猜个毛	0.902	0	donman	tp
每日经验氵氵	接生接生接生	0.672	1	hanpi	tp
狂69有血性,帅!	现在还真是天屁用没有	0.5317	1	kangyabeiguo	tp
遮天全员发电,快给你喜欢的角色发癫吧!	又没有免费的100,搞个鬼啊	0.7456	1	guochandonhua	tp
新的异世界转生加点v2.0版本出现了	名字:上帝 性别:乱马 世界局势:炼狱 种族:神裔 开局状态:召唤仪式 居民风貌:沙耶之歌 基础能力: 力量:普通 魔力:普通 智力:普通 体质:普通 魅力:普通 运气:普通 特质:生命+1,倒计时,不渝之人(无性的死神),天铸神兵(邪恶法杖),语言不通,诅咒缠身,恐怖梦魇,重责在肩,中二晚期 传记:黑白双煞	0.7783	1	bilibili	tp
我发餐饮,大家来打分	不	0.6904	1	sunxiaochuan	tp
赛季上分答案①-上官婉儿教学	来个哥哥带	0.5205	1	wangzherongyao	tp
搞不懂沧元图原著粉还有啥不满的	剧情一般般,好在不拖沓。我就只是觉得七月不错,另外特效美术有点自己的风格	0.797	1	guochandonhua	tp
【踩楼活动】iqoo新品发布,携手农药吧预热2020kpl冠军杯	音质考虑提升下	0.5605	1	wangzherongyao	tp
处对象 恋爱	没啥要求	0.712	1	chuduixiang	tp
浪费时间	别虾整,我身边就没有这种一无所有的大龄青年。	0.717	1	chuduixiang	tp
他真的我哭死,小娇妻停手吧。	硬气了	0.663	1	guochandonhua	tp
我把话放到这里了。 ig明年没阿水 被打回s7原型。进不了s赛	这能挖几次?	0.7827	1	kangyabeiguo	tp
【水帖】艾欧尼亚的黄昏酒馆	哈哈哈打到最后我自己都笑了	0.4797	1	aiouniya	tp
大晚上的刚想睡觉,在女朋友平板发现了这个	惨,不如加入单身主义	0.7983	1	sunxiaochuan	tp
让我看看你有什么本领 男孩	下雨了会自己回家	0.757	1	simubinansuo	tp
后宫如何消除党争	脑蝉,这是异世界	0.371	1	guochandonhua	tp
说来国内手游有讲完一个故事的吗?	崩2,意志统括者、渊面意识两个boss已经明确入土了	0.7773	1	bilibili	tp
5杯 一周年快乐	99!羡慕	0.787	1	hanpi	tp
处对象吧吧主竞选:no.0003号候选人	顶顶	0.561	1	chuduixiang	tp
꧁日常꧂ 有变化吗	我这么可爱你也舍得打我??	0.601	1	donman	tp
群里看到的极品	三	0.7715	1	sunxiaochuan	tp
山东组在吗 烟台组	福山	0.6787	1	chuduixiang	tp
,奶油在干什么?	红了红了	0.716	1	kangyabeiguo	tp
多久没有谈恋爱了	你怎么跑江西去了	0.6753	1	hanpi	tp
知道为什么乐迪不能哭吗	扣分	0.68	1	ruozhi	tp
正常人日记	"回到了病房,狗密都饿哭了""我们!必须离开这里"" 我难过极了,这个破地方,这个食堂,那些东西…是人吃的么?连猪鸡牛羊长颈鹿鱼肉这些普通点的食物都没有,我是吃不下去,实在饿得不行,我只能打来冰箱,拿出了肯德基,大伙吃得很开心,红牛一口气吃掉了我三个鸡腿 其他人也是把我的肯德基分得七七八八,我的心却好痛,本来打算半夜起来自己吃的,可是我看不得红牛挨饿,只能拿出来了"	0.668	1	ruozhi	tp
啊不是,这啥啊这是	后面男主都能无尽战神了吧	0.748	1	bilibili	tp
写网文死路一条	这本书的内容我刚刚还找得到是为什么	0.6167	1	bilibili	tp
他们真敢做这种勒索的事情啊?	圣莫妮卡和暴雪分别被敲诈了1个e刀左右,700w,算少的了	0.7793	1	bilibili	tp
孙吧即日起开展易拉罐大战老东西活动	那我就打个先	0.656	1	sunxiaochuan	tp
国漫还有没有不后宫的?	你这个完结的属实难为人	0.757	1	guochandonhua	tp
做一个温柔耐心宜人的乖宝宝	挑战十天不吃晚饭!	0.5522	1	simubinansuo	tp
"""当你你最想娶的女孩叫什么名字"""	不告诉你	0.788	1	chuduixiang	tp
开个帖子记录一下我的逆天室友	幽默	0.711	1	sunxiaochuan	tp
处个对象,不行就分享下生活吧	而且是现金耶	0.4905	1	chuduixiang	tp
现在的动漫真没以前那味了…	楼主优越感这么溢出会不会胀坏我的手机屏幕啊,我好担心	0.7573	1	donman	tp
如果只选一部神作,8u们会选什么	不知道	0.7007	1	donman	tp
我高中时期的奇葩同学	然后我们又告诉e	0.505	1	sunxiaochuan	tp
关于这次曜的风波	就这么横向对比吧!比如把李白生存能力加一倍,然后伤害再高一点点。看看这样的李白超标不。	0.4663	1	wangzherongyao	tp
vy 朋友圈	处微友是干嘛的呢,平时打游戏聊天么?	0.733	1	wangzherongyao	tp
大半夜的笑死我	供养者	0.4739	1	sunxiaochuan	tp
据野史记载	乐	0.4924	1	bilibili	tp
【有奖活动】迪希雅生日活动开启!	衮	0.595	1	yuanshen	tp
感觉在贴吧看见别人为了爱情要死要活的样子很幽默	是的	0.7734	1	wangzherongyao	tp
摩拉的名义	原神代肝,托管可找我,可看信誉图	0.555	1	yuanshen	tp
记录一下生活	现在是上午6点50 果然我这个时候就起床了	0.7363	1	sunxiaochuan	tp
没回求助贴的来回一下	看完了恶鬼,emmm还行吧,这题材放我们这是绝对不让过的	0.715	1	hanpi	tp
【网文感慨】一代有一代的人才啊,常青树终究是少有	豆子惹得祸	0.617	1	bilibili	tp
爱是突然降临的	真心瞬万遍	0.7354	1	chuduixiang	tp
自作孽不值得同情	早晚的事	0.7456	1	sunxiaochuan	tp
"假如我是游戏策划""主题征贴活动"	原神细节性调整 一.祈愿功能 1.限定池每120次祈愿必定出现当期up角色,取消大小保底机制 2.常驻池同样改为每120次祈愿,池内五星改为除当期up角色和当期up武器外的所有角色武器 3.星辉兑换相遇之缘与纠缠之缘不再设限,但每月兑换五次以后星辉需求翻倍 二.大世界新机制 1.适当增幅秘境,世界boss难度,同时增多奖励 2.地脉花可以自主选择难度,收获不同奖励 3.推出每月boss,玩家可使用8位角色出战,联机则最多可以8名玩家攻打boss,收获需要160树脂,奖励包括摩拉,经验书,圣遗物,天赋书,属性宝石,异梦溶媒,原胚,星尘,星辉 三.元素反应 1.草-岩:结晶 2.草-风:扩散 3.草-水:生长—为目标持续回复血量 4.草-火:燃烧 5.草-冰:脆化—削弱大量目标物理防御并消减韧性 6.草-雷:有草元素存在时,目标受到雷系伤害减半,且无法沾染雷元素	0.7983	1	yuanshen	tp
195 江苏 00	这个身高!我爱了	0.71	1	chuduixiang	tp
看着都觉得痛	都是现在还有卖氢气球的?	0.7993	1	sunxiaochuan	tp
cos 小哥 又来了	好活	0.7837	1	bilibili	tp
没睡和早起的有福了	我是五楼	0.6807	1	aiouniya	tp
唯关。。。	嗯嗯	0.715	1	chuduixiang	tp
暗恋三年了,鼠鼠忍不了了捏!	让你丑完了	0.6963	1	sunxiaochuan	tp
骨科的故事发生在自己身上了	我超 速度更 好康	0.617	1	sunxiaochuan	tp
8u都在	好漂亮的	0.7188	1	simubinansuo	tp
现在女角色设太模板了?	是这样的	0.7363	1	donman	tp
原来这种人真的存在现实生活啊	知道孩子要高考了,就说点激励的话不行吗,一上来就说没钱要买旧的也是无语	0.6807	1	sunxiaochuan	tp
《你以为的女生独居》看笑了	为了守护黑的发臭的饺子皮真是煞费苦心了	0.701	1	sunxiaochuan	tp
q区开黑群	滴滴	0.5156	1	wangzherongyao	tp
武汉 恋爱	那些最煽情的电影情节都说爱能超越生死离别	0.711	1	chuduixiang	tp
你在无意间知道了哪些秘密?	大写b 小写b	0.4836	1	sunxiaochuan	tp
开局两人头加红buff的小炮就这?	从头送到尾	0.7393	1	kangyabeiguo	tp
请用一句话证明你没有看到这句话	今天打游戏十连跪,还要不要接着打了?	0.6914	1	ruozhi	tp
老鸽们,这是什么漫画?	再见绘梨	0.6724	1	donman	tp
这嚒说话你觉得你配得到我的v?	这不是明星吗	0.7964	1	aiouniya	tp
除夕夜新年教学局,老家县城偶遇	你俩都是孙笑喘的亲戚	0.6963	1	sunxiaochuan	tp
好尴尬……	鸭蛙猴形意拳?	0.701	1	sunxiaochuan	tp
我发现一个问题!为什么吧里没人看小小克星?	没看过啊…… ———来自【妹控】无影: 妹爱万个 ,落纸如云烟, 下笔千言; 须无一字不用典 ,爱妹万里 ,若等闲	0.7817	1	donman	tp
说真的 看了一圈 很好奇她为什么不去工作	不懂	0.7773	1	hanpi	tp
被恶心到了	欧耶	0.7046	1	aiouniya	tp
大家今天吃什么!!!我吃!水煮肉片和酸菜肉的饺子!还有	老公	0.6875	1	hanpi	tp
狗血大戏~鸳鸯谱点到外甥女~	后面呢	0.7812	1	sunxiaochuan	tp
打小就没搞懂这个变形到底变了个啥……	就换了个姿势	0.786	1	bilibili	tp
咱就问mhy的每期问卷调研真的有人会每道题都认真审题回答?	现在都不问你年龄了	0.7036	1	yuanshen	tp
当你觉得国漫不好看时……	除了第一个其他全是答辩	0.675	1	donman	tp
这个真绷不住了	能考六百多的少考一门也不只有三百多分	0.6904	1	sunxiaochuan	tp
有没有什么深度番啊	海马kaiba	0.7275	1	donman	tp
这种还能怎么挽回	什么意思	0.5547	1	sunxiaochuan	tp
巴尔泽布 我已登神!	都满命不来个专武,差那点钱?	0.7705	1	yuanshen	tp
早上好各位	真实返图~谢谢家人	0.7656	1	hanpi	tp
我发游戏孝子8u来打分	魂小将	0.744	1	sunxiaochuan	tp
离谱cp记	我泪目了,我的62楼一直被吞呜呜呜 我好恨啊	0.7695	1	wangzherongyao	tp
给大家说下我的相亲经历	好长	0.576	1	sunxiaochuan	tp
竟然喝刻晴异世相遇了	b站叫啥来着	0.6416	1	yuanshen	tp
莫负东风赠春色,且祝余生一笑中。	盛安……,一直在变一直没变。总像一个圈子在兜兜转转的。不断跌倒不断爬起来的盛安,我想抱抱她。	0.776	1	simubinansuo	tp
谁和我谈 有趣的灵魂	拱墅区	0.4138	1	chuduixiang	tp
【赛事预告】5月14日-19日:2024msi季中冠军赛	打野是没抓人威胁的艾翁,不选兰博武器 只能说是真不想背锅	0.7524	1	kangyabeiguo	tp
【盖楼】我要为工藤新一,鲁鲁修,夏尔三个人盖3000楼。	你。。	0.6885	1	donman	tp
感觉大家都好成熟,我有点不敢讲话www……	所以老师考的怎么样	0.6797	1	simubinansuo	tp
原神吧水楼	咕咕咕	0.644	1	yuanshen	tp
讲讲高中遇到的逆天同学和逆天事	lz在闲鱼说了原因后想起来了早饭后的时间发生的事情	0.675	1	sunxiaochuan	tp
重评芙莉莲中的勇者之剑——勇者之剑的无用之用	你們怎不水咒術?	0.5205	1	bilibili	tp
为什么这么恶心为了流量不要脸?	就这5个人 线下赛都进不去	0.748	1	kangyabeiguo	tp
我有一个不好的预感	t1这个死法跟去年如出一辙,去年跟jd的第一次bo5把中路底裤打出来了,往后对面就都知道通过bp按死你的中路英雄池,之后估计就是一泻千里了	0.535	1	kangyabeiguo	tp
谁懂小狗是平权主义者的撕裂感	有点自我矛盾,钻牛角尖了宝宝	0.5483	1	simubinansuo	tp
叶凡说制作组在抹黑他	啊	0.593	1	guochandonhua	tp
